"","country_name","country_name_pl","code"
"1","Austria","Austria","AT"
"2","Belgium","Belgia","BE"
"3","Bulgaria","Bułgaria","BG"
"4","Switzerland","Szwajcaria","CH"
"5","Cyprus","Cypr","CY"
"6","Czechia","Czechy","CZ"
"7","Germany","Niemcy","DE"
"8","Denmark","Dania","DK"
"9","Euro area","Kraje strefy euro","EA"
"10","Euro area (19 countries)","Kraje strefy euro (19 krajów)","EA19"
"11","Estonia","Estonia","EE"
"12","Greece","Grecja","EL"
"13","Spain","Hiszpania","ES"
"14","European Union","Unia Europejska","EU"
"15","Finland","Finlandia","FI"
"16","France","Francja","FR"
"17","Croatia","Chorwacja","HR"
"18","Hungary","Węgry","HU"
"19","Ireland","Irlandia","IE"
"20","Iceland","Islandia","IS"
"21","Italy","Włochy","IT"
"22","Lithuania","Litwa","LT"
"23","Luxembourg","Luksemburg","LU"
"24","Latvia","Łotwa","LV"
"25","North Macedonia","Macedonia Północna","MK"
"26","Malta","Malta","MT"
"27","Netherlands","Holandia","NL"
"28","Norway","Norwegia","NO"
"29","Poland","Polska","PL"
"30","Portugal","Portugalia","PT"
"31","Romania","Rumunia","RO"
"32","Serbia","Serbia","RS"
"33","Sweden","Szwecja","SE"
"34","Slovenia","Słowenia","SI"
"35","Slovakia","Słowacja","SK"
"36","Turkey","Turcja","TR"
